WEAPON,CATEGORY,DESCRIPTION
Glock-18,Pistols,"Price: $200 Damage: 33 Description: The Glock-18 is one of the lowest-damage weapons in the game, but its 20-round magazine, plentiful reserve ammo, moderate rate of fire, and three-shot burst fire option makes it one of the most versatile weapons for pistol rounds."
P200,Pistols,"Price: $200 Damage: 35 Description: The default pistol for CTs, the P2000 has a lower fire rate and ammo count than the Glock-18 but makes up for it with its headshot kill potency against unarmored opponents in pistol rounds."
USP-S,Pistols,"Price: $200 Damage: 35 Description: Added in a 2013 update, the USP-S is the alternative spawn pistol for CTs. It's slightly more accurate, does slightly more damage, and is much quieter than the P2000, but only has 24 rounds of reserve ammo."
P250,Pistols,"Price: $300 Damage: 38 Description: The P250 is the cheapest weapon in CS:GO capable of dealing one-hit headshot kills to helmeted enemies, and it does more damage to armored enemies than the spawn pistols, but it only has two reserve ammo magazines."
Dual Berettas,Pistols,"Price: $500 Damage: 38 Description: A flamboyant favorite of the Counter-Strike series, the Dual Berettas are capable of an incredible rate of fire and large ammo capacity, but they suffer from low damage and lengthy reload time."
Tec-9,Pistols,"Price: $500 Damage: 33 Description: The Tec-9 straddles the line between pistols and submachine guns; it's lethal in close quarters and can be fired at high speed, but it suffers from less-than-ideal accuracy, recoil, and spread."
Five-Seven,Pistols,"Price: $500 Damage: 32 Description: Headshot kill potential and a 20-round magazine are both defining features of the Five-SeveN. Its lethality drops off at range, however, and it isn't as accurate as other, cheaper pistols."
CZ7.5-Auto,Pistols,"Price: $500 Damage: 33 Description: The CZ75-Auto is the only fully automatic pistol in CS:GO, and was added to the game in a 2014 update. It's a high-risk, high-reward weapon that excels in close range but has only one spare magazine in reserve."
Desert Eagle,Pistols,"Price: $700 Damage: 63 Description: The big daddy of all pistols, the ""Deagle"" packs a .50 caliber punch that can kill armored enemies with headshots from long range, but has a small magazine, lower fire rate, and high recoil and spread."
Nova,Shotguns,"Price: $1050 Damage: 243 Description: The Nova has the least spread of all shotguns in CS:GO and is devastating at close range, but has a rather low rate of fire and isn't very effective against armored opponents or opponents at longer ranges."
XM1014,Shotguns,"Price: $2000 Damage: 83 Description: The XM1014 has the highest rate of fire of all shotguns and is a cheaper alternative to some rifles for close-range deadliness. However, it does less damage than the Nova and is even less accurate at longer ranges."
MAG-7,Shotguns,Price: $1300 Damage: 105 Description: The MAG-7 is the only shotgun to have a quick-reloading magazine. It is also more accurate than the Nova and XM1014 but has a slower rate of fire and lower magazine capacity.
Sawed-Off,Shotguns,"Price: $1200 Damage: 70 Description: The Sawed-off has the highest damage of all shotguns while costing the same as the Nova. However, it has significantly higher spread than the other shotguns and slows the player down the most while active."
MAC-10,SMGs,"Price: $1050 Damage: 29 Description: A cheap, lightweight, close-quarters lead-spitting machine, the MAC-10 has a very high rate of fire and does more damage than the MP9, but suffers from higher recoil and inaccuracy."
MP9,SMGs,"Price: $1250 Damage: 26 Description: The MP9 is very cheap, has a quick rate of fire, and is one of the best weapons in CS:GO for rushing and spraying. However, its low damage and high recoil limit its versatility."
UMP-45,SMGs,"Price: $1200 Damage: 35 Description: A large-caliber SMG for the masses, the UMP-45 has relatively high damage paired with good accuracy and a low price tag. However, it has a lower rate of fire and smaller magazine size than most SMGs."
MP7,SMGs,"Price: $1500 Damage: 29 Description: The MP7 is a versatile, well-rounded weapon with a high fire rate and low recoil for an SMG. However, its low damage and poor accuracy beyond close range hamper its further effectiveness."
PP-Bizon,SMGs,"Price: $1400 Damage: 27 Description: With a 64-round helical magazine and 120 spare rounds, as well as a speedy fire rate and reload time, the PP-Bizon is a spraying machine. However, its damage and accuracy leave a lot to be desired."
P90,SMGs,"Price: $2350 Damage: 26 Description: The P90 has a ridiculously high fire rate, large magazine capacity, and somewhat good accuracy. However, it is by far the most expensive SMG and has pretty low damage per bullet."
Galil AR,Rifles,"Price: $1800 Damage: 33 Description: The rifle for the terrorist on a budget, the Galil AR lacks the headshot deadliness of the AK-47 or the SG 553 but has less recoil, a higher fire rate, and a relatively large magazine."
